match_id,match_number,stage,group,team_1,team_2,matchup,kickoff_date_et,kickoff_time_et,kickoff_datetime_et,kickoff_datetime_utc,local_date,local_time,venue,city,country,venue_timezone,slack_channel_id,reminder_24h_sent,reminder_1h_sent,reminder_start_sent,notes,source_url
M001,1,Group Stage,A,Mexico,South Africa,Mexico vs. South Africa,2026-06-11,3:00 PM,2026-06-11 12:00,2026-06-11 19:00 UTC,2026-06-11,1:00 PM,Estadio Azteca,Mexico City,Mexico,America/Mexico_City,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M002,2,Group Stage,A,South Korea,Czechia,South Korea vs. Czechia,2026-06-11,10:00 PM,2026-06-11 19:00,2026-06-12 02:00 UTC,2026-06-11,8:00 PM,Estadio Akron,Zapopan,Mexico,America/Mexico_City,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M003,3,Group Stage,B,Canada,Bosnia & Herzegovina,Canada vs. Bosnia & Herzegovina,2026-06-12,3:00 PM,2026-06-12 12:00,2026-06-12 19:00 UTC,2026-06-12,3:00 PM,BMO Field,Toronto,Canada,America/Toronto,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M004,4,Group Stage,D,USA,Paraguay,USA vs. Paraguay,2026-06-12,9:00 PM,2026-06-12 18:00,2026-06-13 01:00 UTC,2026-06-12,6:00 PM,SoFi Stadium,Inglewood,United States,America/Los_Angeles,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M005,5,Group Stage,B,Qatar,Switzerland,Qatar vs. Switzerland,2026-06-13,3:00 PM,2026-06-13 12:00,2026-06-13 19:00 UTC,2026-06-13,12:00 PM,Levi’s Stadium,Santa Clara,United States,America/Los_Angeles,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M006,6,Group Stage,C,Brazil,Morocco,Brazil vs. Morocco,2026-06-13,6:00 PM,2026-06-13 15:00,2026-06-13 22:00 UTC,2026-06-13,6:00 PM,MetLife Stadium,East Rutherford,United States,America/New_York,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M007,7,Group Stage,C,Haiti,Scotland,Haiti vs. Scotland,2026-06-13,9:00 PM,2026-06-13 18:00,2026-06-14 01:00 UTC,2026-06-13,9:00 PM,Gillette Stadium,Foxborough,United States,America/New_York,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M008,8,Group Stage,D,Australia,Türkiye,Australia vs. Türkiye,2026-06-14,12:00 AM,2026-06-13 21:00,2026-06-14 04:00 UTC,2026-06-13,9:00 PM,BC Place,Vancouver,Canada,America/Vancouver,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M009,9,Group Stage,E,Germany,Curaçao,Germany vs. Curaçao,2026-06-14,1:00 PM,2026-06-14 10:00,2026-06-14 17:00 UTC,2026-06-14,12:00 PM,NRG Stadium,Houston,United States,America/Chicago,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M010,10,Group Stage,F,Netherlands,Japan,Netherlands vs. Japan,2026-06-14,4:00 PM,2026-06-14 13:00,2026-06-14 20:00 UTC,2026-06-14,3:00 PM,AT&T Stadium,Arlington,United States,America/Chicago,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M011,11,Group Stage,E,Ivory Coast,Ecuador,Ivory Coast vs. Ecuador,2026-06-14,7:00 PM,2026-06-14 16:00,2026-06-14 23:00 UTC,2026-06-14,7:00 PM,Lincoln Financial Field,Philadelphia,United States,America/New_York,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M012,12,Group Stage,F,Sweden,Tunisia,Sweden vs. Tunisia,2026-06-14,10:00 PM,2026-06-14 19:00,2026-06-15 02:00 UTC,2026-06-14,8:00 PM,Estadio BBVA,Monterrey,Mexico,America/Monterrey,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M013,13,Group Stage,H,Spain,Cape Verde,Spain vs. Cape Verde,2026-06-15,12:00 PM,2026-06-15 09:00,2026-06-15 16:00 UTC,2026-06-15,12:00 PM,Mercedes-Benz Stadium,Atlanta,United States,America/New_York,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
M014,14,Group Stage,G,Belgium,Egypt,Belgium vs. Egypt,2026-06-15,3:00 PM,2026-06-15 12:00,2026-06-15 19:00 UTC,2026-06-15,12:00 PM,Lumen Field,Seattle,United States,America/Los_Angeles,,FALSE,FALSE,FALSE,,https://worldcupwiki.com/schedule/
